fpr,tpr,threshold
0.0,0.0,0.994810534167769
0.0,0.007246376811594203,0.9917212624390453
0.0027624309392265192,0.007246376811594203,0.989525556601047
0.0055248618784530384,0.007246376811594203,0.9877873962670336
0.0055248618784530384,0.014492753623188406,0.9873285697898808
0.0055248618784530384,0.021739130434782608,0.9850290237686654
0.008287292817679558,0.021739130434782608,0.9849557913704969
0.011049723756906077,0.021739130434782608,0.9846003414927201
0.013812154696132596,0.021739130434782608,0.9842279909393663
0.013812154696132596,0.028985507246376812,0.9841311558140741
0.016574585635359115,0.028985507246376812,0.9840640379167206
0.016574585635359115,0.036231884057971016,0.9820502406915472
0.019337016574585635,0.036231884057971016,0.9816937209689713
0.019337016574585635,0.043478260869565216,0.9814620937408614
0.022099447513812154,0.043478260869565216,0.979249828019276
0.024861878453038673,0.043478260869565216,0.9780579381351696
0.027624309392265192,0.043478260869565216,0.9775893211705475
0.03038674033149171,0.043478260869565216,0.9774429559547471
0.03314917127071823,0.043478260869565216,0.9768613079965512
0.03591160220994475,0.043478260869565216,0.9767563315533135
0.03867403314917127,0.043478260869565216,0.9752052195322798
0.03867403314917127,0.050724637681159424,0.9751002211300213
0.03867403314917127,0.057971014492753624,0.9724832686465834
0.04143646408839779,0.057971014492753624,0.9722027611690115
0.04143646408839779,0.06521739130434782,0.9707039003733053
0.04419889502762431,0.06521739130434782,0.9705065428320695
0.04696132596685083,0.06521739130434782,0.968773565027263
0.049723756906077346,0.06521739130434782,0.9687563704462319
0.052486187845303865,0.06521739130434782,0.9687360668446978
0.055248618784530384,0.06521739130434782,0.9687336735548169
0.058011049723756904,0.06521739130434782,0.9680729207652146
0.06077348066298342,0.06521739130434782,0.966689604717196
0.06353591160220995,0.06521739130434782,0.9658018829771334
0.06629834254143646,0.06521739130434782,0.9645635889960269
0.06906077348066299,0.06521739130434782,0.9644245245958636
0.0718232044198895,0.06521739130434782,0.9641663008985543
0.0718232044198895,0.07246376811594203,0.964147314913285
0.07458563535911603,0.07246376811594203,0.9638813705908158
0.07734806629834254,0.07246376811594203,0.9635025469257227
0.08011049723756906,0.07246376811594203,0.9633556903018418
0.08011049723756906,0.07971014492753623,0.9629733737238697
0.08011049723756906,0.08695652173913043,0.9622976583902062
0.08287292817679558,0.08695652173913043,0.9608339154224387
0.0856353591160221,0.08695652173913043,0.9581561531472771
0.08839779005524862,0.08695652173913043,0.9562018707453471
0.09116022099447514,0.08695652173913043,0.9561257919820775
0.09392265193370165,0.08695652173913043,0.9555732362765215
0.09668508287292818,0.08695652173913043,0.9554419880907247
0.09668508287292818,0.09420289855072464,0.9552671778607574
0.09944751381215469,0.09420289855072464,0.9551421499383075
0.09944751381215469,0.10144927536231885,0.9534144777343452
0.10220994475138122,0.10144927536231885,0.9520265736805954
0.10497237569060773,0.10144927536231885,0.9520142485188178
0.10773480662983426,0.10144927536231885,0.9517672811320247
0.11049723756906077,0.10144927536231885,0.9506283080927106
0.1132596685082873,0.10144927536231885,0.9499779279143615
0.11602209944751381,0.10144927536231885,0.94887771756616
0.11878453038674033,0.10144927536231885,0.9473557598413959
0.12154696132596685,0.10144927536231885,0.9463686639399388
0.12430939226519337,0.10144927536231885,0.94575681550516
0.1270718232044199,0.10144927536231885,0.9454153279835439
0.1270718232044199,0.10869565217391304,0.9451754881456558
0.1298342541436464,0.10869565217391304,0.9446592567164941
0.1298342541436464,0.11594202898550725,0.9443881650582063
0.1298342541436464,0.12318840579710146,0.9442898094853426
0.13259668508287292,0.12318840579710146,0.9417392695011615
0.13259668508287292,0.13043478260869565,0.9416974431240209
0.13259668508287292,0.13768115942028986,0.9413249602294436
0.13535911602209943,0.13768115942028986,0.9392476384794826
