threshold,precision,recall,f1
0.05,0.276,1.0,0.432601880877743
0.1,0.2745490981963928,0.9927536231884058,0.4301412872841444
0.15,0.27364185110663986,0.9855072463768116,0.42834645669291344
0.2,0.2729124236252546,0.9710144927536232,0.4260731319554849
0.25,0.2727272727272727,0.9565217391304348,0.42443729903536975
0.3,0.2742616033755274,0.9420289855072463,0.42483660130718953
0.35,0.27896995708154504,0.9420289855072463,0.43046357615894043
0.39999999999999997,0.2771618625277162,0.9057971014492754,0.4244482173174873
0.44999999999999996,0.2775229357798165,0.8768115942028986,0.42160278745644597
0.49999999999999994,0.28087167070217917,0.8405797101449275,0.42105263157894735
0.5499999999999999,0.28316326530612246,0.8043478260869565,0.4188679245283019
0.6,0.2872628726287263,0.7681159420289855,0.4181459566074951
0.65,0.2877906976744186,0.717391304347826,0.41078838174273863
0.7,0.2986577181208054,0.644927536231884,0.40825688073394495
0.75,0.28735632183908044,0.5434782608695652,0.37593984962406013
0.7999999999999999,0.2943722943722944,0.4927536231884058,0.36856368563685643
0.85,0.3125,0.39855072463768115,0.3503184713375796
0.9,0.31666666666666665,0.2753623188405797,0.2945736434108527
0.95,0.2545454545454545,0.10144927536231885,0.14507772020725387
